job_role,country,job_postings_count
Data Scientist,United States of America,1
Data Scientist,United States of America,3
Data Scientist,United States of America,1
Data Scientist,United States of America,12
Data Scientist,United States of America,1
Data Scientist,United States of America,3
Data Scientist,United States of America,822
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,3
Data Scientist,United States of America,9
Data Scientist,United States of America,3
Data Scientist,United States of America,2
Data Scientist,United States of America,9
Data Scientist,United States of America,1
Data Scientist,United States of America,26
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,1
Data Engineer,United States of America,3
Data Engineer,United States of America,4
Data Engineer,United States of America,3
Data Engineer,United States of America,2
Data Engineer,United States of America,25
Data Engineer,United States of America,1
Data Engineer,United States of America,8
Data Engineer,United States of America,4
Data Engineer,United States of America,2
Data Engineer,United States of America,2
Data Engineer,United States of America,2
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,39
Data Engineer,United States of America,11
Data Engineer,United States of America,2
Data Engineer,United States of America,2
Data Engineer,United States of America,7
Data Engineer,United States of America,8
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,5
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,21
Data Engineer,United States of America,2
Data Engineer,United States of America,3
Data Engineer,United States of America,1
Data Engineer,United States of America,27
Data Engineer,United States of America,9
Data Engineer,United States of America,2
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,1
Data Engineer,United States of America,6
Data Engineer,United States of America,6
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,5
Data Engineer,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,4
Data Engineer,United States of America,5
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,23
Data Engineer,United States of America,1
Data Engineer,United States of America,4
Data Engineer,United States of America,5
Data Engineer,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,4
Data Engineer,United States of America,2
Data Engineer,United States of America,2
Data Engineer,United States of America,9
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,5
Data Engineer,United States of America,2
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,9
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,3
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,6
Data Engineer,United States of America,2
Data Engineer,United States of America,11
Data Engineer,United States of America,1
Data Engineer,United States of America,3
Data Engineer,United States of America,1
Data Engineer,United States of America,7
Data Engineer,United States of America,5
Data Engineer,United States of America,20
Data Engineer,United States of America,4
Data Engineer,United States of America,5
Data Engineer,United States of America,20
Data Engineer,United States of America,2
Data Engineer,United States of America,3
Data Engineer,United States of America,15
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,3
Data Engineer,United States of America,2
Data Engineer,United States of America,2
Data Engineer,United States of America,1
Data Engineer,United States of America,7
Data Engineer,United States of America,9
Data Engineer,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,7
Data Engineer,United States of America,8
Data Engineer,United States of America,8
Data Engineer,United States of America,1
Data Engineer,United States of America,3
Data Engineer,United States of America,2
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,33
Data Engineer,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,2
Data Engineer,United States of America,2
Data Engineer,United States of America,9
Data Engineer,United States of America,8
Data Engineer,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,3
Data Engineer,United States of America,5
Data Engineer,United States of America,3
Data Engineer,United States of America,1
Data Engineer,United States of America,9
Data Engineer,United States of America,33
Data Engineer,United States of America,62
Data Engineer,United States of America,3
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,4
Data Engineer,United States of America,7
Data Engineer,United States of America,1
Data Engineer,United States of America,3
Data Engineer,United States of America,2
Data Engineer,United States of America,2
Data Engineer,United States of America,18
Data Engineer,United States of America,1
Data Engineer,United States of America,3
Data Engineer,United States of America,1
Data Engineer,United States of America,4
Data Engineer,United States of America,5
Data Engineer,United States of America,3
Data Engineer,United States of America,1
Data Engineer,United States of America,4
Data Engineer,United States of America,4
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,1
Data Engineer,United States of America,32
Data Engineer,United States of America,3
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,3
Data Engineer,United States of America,40
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,9
Data Engineer,United States of America,1
Data Engineer,United States of America,3
Data Engineer,United States of America,2
Data Engineer,United States of America,1
Data Engineer,United States of America,3
Data Engineer,United States of America,5
Data Engineer,United States of America,2
Data Engineer,United States of America,1
Data Engineer,United States of America,10
Data Engineer,United States of America,2
Data Engineer,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,5
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,2
Data Engineer,United States of America,11
Data Engineer,United States of America,6
Data Engineer,United States of America,3
Data Engineer,United States of America,1
Data Engineer,United States of America,10
Data Engineer,United States of America,3
Data Engineer,United States of America,4
Data Engineer,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,22
Data Engineer,United States of America,10
Data Engineer,United States of America,8
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Scientist,United States of America,3
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,5
Data Engineer,United States of America,3
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,1
Data Engineer,United States of America,22
Data Engineer,United States of America,2
Data Engineer,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,4
Data Engineer,United States of America,4
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,6
Data Engineer,United States of America,5
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,4
Data Engineer,United States of America,3
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,10
Data Engineer,United States of America,2
Data Engineer,United States of America,3
Data Engineer,United States of America,6
Data Engineer,United States of America,78
Data Engineer,United States of America,6
Data Engineer,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,1
Data Engineer,United States of America,3
Data Engineer,United States of America,1
Data Engineer,United States of America,6
Data Engineer,United States of America,6
Data Engineer,United States of America,2
Data Engineer,United States of America,5
Data Engineer,United States of America,1
Data Engineer,United States of America,6
Data Engineer,United States of America,37
Data Engineer,United States of America,17
Data Engineer,United States of America,9
Data Engineer,United States of America,1
Data Engineer,United States of America,7
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,11
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,16
Data Engineer,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,1
Data Engineer,United States of America,4
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,6
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,4
Data Engineer,United States of America,2
Data Engineer,United States of America,1
Data Engineer,United States of America,3
Data Engineer,United States of America,3
Data Engineer,United States of America,4
Data Engineer,United States of America,3
Data Engineer,United States of America,78
Data Engineer,United States of America,1
Data Engineer,United States of America,3
Data Engineer,United States of America,2
Data Engineer,United States of America,2
Data Engineer,United States of America,3
Data Engineer,United States of America,3
Data Engineer,United States of America,44
Data Engineer,United States of America,1
Data Engineer,United States of America,3
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,5
Data Engineer,United States of America,3
Data Engineer,United States of America,1
Data Engineer,United States of America,4
Data Engineer,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,1
Data Engineer,United States of America,115
Data Engineer,United States of America,2
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,6
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,3
Data Engineer,United States of America,1
Data Engineer,United States of America,3
Data Engineer,United States of America,1
Data Engineer,United States of America,7
Data Engineer,United States of America,2
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,3
Data Engineer,United States of America,4
Data Engineer,United States of America,10
Data Engineer,United States of America,1
Data Engineer,United States of America,5
Data Engineer,United States of America,2
Data Engineer,United States of America,1
Data Scientist,United States of America,23
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,6
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,2
Data Scientist,United States of America,10
Data Scientist,United States of America,10
Data Scientist,United States of America,3
Data Scientist,United States of America,3
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,21
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,18
Data Scientist,United States of America,2
Data Scientist,United States of America,62
Data Scientist,United States of America,3
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,2
Data Scientist,United States of America,21
Data Scientist,United States of America,8
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,3
Data Engineer,United States of America,2
Data Engineer,United States of America,5
Data Engineer,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,5
Data Scientist,United States of America,3
Data Scientist,United States of America,2
Data Scientist,United States of America,2
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,5
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,1
Data Scientist,United States of America,3
Data Scientist,United States of America,1
Data Scientist,United States of America,4
Data Scientist,United States of America,2
Data Scientist,United States of America,7
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,2
Data Scientist,United States of America,5
Data Scientist,United States of America,4
Data Scientist,United States of America,2
Data Scientist,United States of America,2
Data Scientist,United States of America,14
Data Scientist,United States of America,11
Data Scientist,United States of America,10
Data Scientist,United States of America,4
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,5
Data Scientist,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,5
Data Engineer,United States of America,2
Data Engineer,United States of America,1
Data Engineer,United States of America,3
Data Engineer,United States of America,2
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,2
Data Scientist,United States of America,8
Data Scientist,United States of America,1
Data Scientist,United States of America,3
Data Scientist,United States of America,7
Data Scientist,United States of America,1
Data Scientist,United States of America,3
Data Scientist,United States of America,6
Data Scientist,United States of America,3
Data Scientist,United States of America,1
Data Scientist,United States of America,3
Data Scientist,United States of America,2
Data Scientist,United States of America,2
Data Scientist,United States of America,13
Data Scientist,United States of America,1
Data Scientist,United States of America,10
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,46
Data Scientist,United States of America,3
Data Scientist,United States of America,1
Data Scientist,United States of America,14
Data Scientist,United States of America,1
Data Scientist,United States of America,3
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,3
Data Scientist,United States of America,34
Data Scientist,United States of America,2
Data Scientist,United States of America,2
Data Scientist,United States of America,2
Data Scientist,United States of America,5
Data Scientist,United States of America,2
Data Scientist,United States of America,15
Data Scientist,United States of America,1
Data Scientist,United States of America,4
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,4
Data Scientist,United States of America,15
Data Scientist,United States of America,1
Data Scientist,United States of America,3
Data Scientist,United States of America,4
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,217
Data Scientist,United States of America,8
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,15
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,5
Data Engineer,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,1
Data Scientist,United States of America,3
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,2
Data Scientist,United States of America,8
Data Scientist,United States of America,2
Data Scientist,United States of America,2
Data Scientist,United States of America,7
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,10
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,3
Data Scientist,United States of America,6
Data Scientist,United States of America,2
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,6
Data Scientist,United States of America,1
Data Scientist,United States of America,6
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,2
Data Scientist,United States of America,43
Data Scientist,United States of America,1
Data Scientist,United States of America,11
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,3
Data Scientist,United States of America,1
Data Scientist,United States of America,9
Data Engineer,United States of America,5
Data Engineer,United States of America,4
Data Engineer,United States of America,3
Data Engineer,United States of America,5
Data Engineer,United States of America,1
Data Engineer,United States of America,3
Data Engineer,United States of America,10
Data Engineer,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,3
Data Engineer,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,2
Data Engineer,United States of America,2
Data Engineer,United States of America,2
Data Engineer,United States of America,2
Data Engineer,United States of America,9
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,10
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,20
Data Scientist,United States of America,3
Data Scientist,United States of America,1
Data Scientist,United States of America,1
Data Scientist,United States of America,117
Data Scientist,United States of America,2
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,21
Data Engineer,United States of America,3
Data Engineer,United States of America,2
Data Engineer,United States of America,5
Data Engineer,United States of America,9
Data Engineer,United States of America,3
Data Scientist,United States of America,1
Data Scientist,United States of America,17
Data Scientist,United States of America,2
Data Engineer,United States of America,1
Data Engineer,United States of America,4
Data Engineer,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,1
Data Engineer,United States of America,11
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,14
Data Engineer,United States of America,5
Data Scientist,United States of America,3
Data Scientist,United States of America,4
Data Scientist,United States of America,1
Data Engineer,United States of America,6
Data Engineer,United States of America,1
Data Engineer,United States of America,3
Data Engineer,United States of America,2
Data Engineer,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,4
Data Engineer,United States of America,2
Data Engineer,United States of America,1
Data Engineer,United States of America,3
Data Engineer,United States of America,16
Data Scientist,United States of America,2
Data Scientist,United States of America,1
Data Scientist,United States of America,7
Data Engineer,United States of America,6
Data Engineer,United States of America,15
Data Engineer,United States of America,3
Data Engineer,United States of America,9
Data Engineer,United States of America,4
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,3
Data Engineer,United States of America,11
Data Engineer,United States of America,2
Data Engineer,United States of America,2
Data Engineer,United States of America,7
Data Engineer,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,2
Data Engineer,United States of America,8
Data Scientist,United States of America,4
Data Scientist,United States of America,1
Data Scientist,United States of America,44
Data Scientist,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,7
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,10
Data Engineer,United States of America,10
Data Engineer,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,12
Data Engineer,United States of America,13
Data Engineer,United States of America,1
Data Engineer,United States of America,5
Data Engineer,United States of America,1
Data Engineer,United States of America,7
Data Engineer,United States of America,33
Data Engineer,United States of America,2
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Scientist,United States of America,3
Data Scientist,United States of America,11
Data Scientist,United States of America,1
Data Scientist,United States of America,2
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,51
Data Engineer,United States of America,3
Data Engineer,United States of America,1
Data Engineer,United States of America,29
Data Engineer,United States of America,1
Data Engineer,United States of America,3
Data Engineer,United States of America,2
Data Engineer,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,1
Data Engineer,United States of America,5
Data Engineer,United States of America,2
Data Engineer,United States of America,13
Data Engineer,United States of America,5
Data Engineer,United States of America,1
Data Engineer,United States of America,5
Data Engineer,United States of America,3
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,3
Data Engineer,United States of America,22
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,2
Data Engineer,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,15
Data Engineer,United States of America,2
Data Engineer,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,17
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,2
Data Engineer,United States of America,6
Data Engineer,United States of America,1
Data Engineer,United States of America,4
Data Engineer,United States of America,1
Data Engineer,United States of America,13
Data Engineer,United States of America,4
Data Engineer,United States of America,13
Data Engineer,United States of America,6
Data Engineer,United States of America,3
Data Engineer,United States of America,1
Data Engineer,United States of America,12
Data Engineer,United States of America,5
Data Engineer,United States of America,1
Data Engineer,United States of America,1
Data Engineer,United States of America,10
Data Engineer,United States of America,1
